iter	Passed	Remaining
415	3129	19438
416	3135	19420
417	3141	19407
418	3148	19393
419	3155	19385
420	3163	19379
421	3170	19367
422	3176	19353
423	3183	19340
424	3192	19342
425	3200	19337
426	3207	19325
427	3214	19315
428	3221	19308
429	3228	19297
430	3236	19289
431	3243	19278
432	3250	19272
433	3257	19260
434	3264	19250
435	3271	19240
436	3279	19234
437	3291	19251
438	3298	19243
439	3305	19234
440	3313	19226
441	3320	19215
442	3327	19204
443	3334	19194
444	3341	19186
445	3348	19177
446	3355	19166
447	3363	19157
448	3370	19149
449	3377	19139
450	3384	19128
451	3391	19117
452	3398	19108
453	3406	19102
454	3413	19095
455	3421	19089
456	3429	19082
457	3436	19073
458	3443	19063
459	3450	19054
460	3458	19045
461	3465	19037
462	3471	19023
463	3479	19016
464	3486	19008
465	3494	19001
466	3501	18992
467	3509	18986
468	3516	18976
469	3524	18970
470	3535	18985
471	3543	18978
472	3550	18968
473	3558	18964
474	3566	18958
475	3573	18948
476	3580	18938
477	3587	18930
478	3595	18920
479	3602	18913
480	3610	18907
481	3617	18900
482	3625	18891
483	3632	18882
484	3639	18871
485	3647	18867
486	3654	18858
487	3662	18850
488	3668	18837
489	3675	18829
490	3682	18817
491	3690	18811
492	3697	18803
493	3705	18796
494	3711	18784
495	3718	18770
496	3725	18760
497	3731	18747
498	3738	18737
499	3745	18725
500	3752	18716
501	3758	18704
502	3765	18694
503	3778	18710
504	3784	18699
505	3791	18688
506	3798	18677
507	3804	18664
508	3811	18652
509	3817	18636
510	3823	18621
511	3829	18609
512	3836	18597
513	3843	18588
514	3849	18576
515	3857	18568
516	3863	18557
517	3870	18547
518	3879	18543
519	3886	18535
520	3893	18526
521	3900	18516
522	3907	18508
523	3914	18497
524	3921	18488
525	3928	18478
526	3935	18469
527	3942	18456
528	3949	18449
529	3957	18443
530	3964	18435
531	3971	18423
532	3977	18411
533	3986	18410
534	3994	18403
535	4001	18396
536	4008	18387
537	4021	18403
538	4031	18408
539	4038	18397
540	4046	18392
541	4054	18385
542	4061	18376
543	4067	18364
544	4074	18355
545	4080	18339
546	4087	18331
547	4095	18323
548	4102	18314
549	4108	18301
550	4115	18291
551	4121	18279
552	4128	18268
553	4135	18259
554	4141	18246
555	4148	18234
556	4153	18219
557	4160	18206
558	4167	18196
559	4173	18183
560	4179	18172
561	4186	18159
562	4193	18152
563	4200	18141
564	4206	18130
565	4213	18121
566	4220	18111
567	4227	18102
568	4234	18091
569	4242	18087
570	4250	18082
571	4258	18077
572	4267	18074
573	4282	18098
574	4291	18099
575	4300	18096
576	4308	18092
577	4316	18089
578	4325	18086
579	4333	18080
580	4340	18071
581	4347	18063
582	4355	18055
583	4362	18045
584	4368	18034
585	4375	18025
586	4382	18014
587	4388	18000
588	4394	17989
589	4401	17977
590	4407	17967
591	4414	17957
592	4421	17948
593	4428	17937
594	4435	17927
595	4442	17917
596	4449	17907
597	4457	17904
598	4464	17894
599	4471	17885
600	4478	17875
601	4485	17868
602	4492	17857
603	4499	17849
604	4506	17838
605	4520	17856
606	4527	17847
607	4534	17840
608	4541	17831
609	4548	17821
610	4555	17810
611	4562	17801
612	4568	17790
613	4576	17783
614	4583	17774
615	4590	17766
616	4597	17756
617	4604	17748
618	4612	17740
619	4619	17731
620	4625	17720
621	4632	17709
622	4639	17703
623	4646	17692
624	4654	17687
625	4662	17680
626	4669	17672
627	4676	17664
628	4685	17663
629	4693	17657
630	4703	17660
631	4712	17657
632	4719	17648
633	4726	17638
634	4732	17626
635	4739	17615
636	4746	17608
637	4753	17598
638	4764	17604
639	4770	17591
640	4777	17580
641	4783	17569
642	4790	17559
643	4796	17548
644	4803	17537
645	4809	17524
646	4815	17511
647	4822	17502
648	4828	17492
649	4836	17484
650	4842	17473
651	4849	17463
652	4855	17451
653	4862	17441
654	4869	17432
655	4875	17421
656	4885	17421
657	4894	17421
658	4902	17415
659	4911	17411
660	4918	17405
661	4926	17399
662	4933	17391
663	4941	17384
664	4949	17380
665	4958	17377
666	4966	17373
667	4976	17372
668	4985	17371
669	4993	17366
670	5004	17369
671	5013	17368
672	5021	17363
673	5028	17354
674	5036	17346
675	5042	17336
676	5049	17326
677	5055	17314
678	5062	17305
679	5069	17294
680	5076	17286
681	5082	17274
682	5089	17265
683	5095	17254
684	5102	17244
685	5109	17235
686	5116	17225
687	5123	17218
688	5130	17209
689	5137	17198
690	5146	17196
691	5153	17187
692	5159	17175
693	5166	17165
694	5172	17155
695	5179	17144
696	5185	17134
697	5192	17123
698	5198	17113
699	5204	17101
700	5211	17090
701	5217	17079
702	5223	17068
703	5230	17058
704	5236	17047
705	5242	17035
706	5258	17054
707	5267	17051
708	5275	17047
709	5285	17046
710	5292	17038
711	5299	17030
712	5306	17022
713	5314	17014
714	5321	17007
715	5329	17000
716	5336	16992
717	5343	16983
718	5350	16975
719	5357	16966
720	5363	16954
721	5370	16944
722	5377	16934
723	5384	16927
724	5391	16918
725	5397	16906
726	5404	16896
727	5410	16885
728	5417	16875
729	5423	16865
730	5430	16855
731	5436	16844
732	5442	16833
733	5449	16823
734	5455	16812
735	5462	16802
736	5468	16790
737	5474	16780
738	5481	16770
739	5487	16759
740	5498	16762
741	5504	16751
742	5511	16743
743	5518	16732
744	5524	16722
745	5531	16712
746	5539	16707
747	5546	16699
