iter	Logloss
164	0.3791876332
165	0.3789965884
166	0.3787651841
167	0.3785772087
168	0.3784314007
169	0.37827034
170	0.3780979213
171	0.3779188959
172	0.3777227638
173	0.3774434453
174	0.3772228551
175	0.3770586456
176	0.3769569231
177	0.3768281026
178	0.3766463322
179	0.3764948252
180	0.3763205809
181	0.3761405417
182	0.3760160764
183	0.3758504023
184	0.3756555452
185	0.3755295968
186	0.3753788958
187	0.3752296959
188	0.3750348758
189	0.3747702586
190	0.3745665262
191	0.3744080279
192	0.3742013558
193	0.374077333
194	0.3739950495
195	0.3738495046
196	0.3737547454
197	0.3735612669
198	0.3733621624
199	0.3732185856
200	0.3730029886
201	0.3728503633
202	0.3727550741
203	0.3725535137
204	0.3723577651
205	0.3722274446
206	0.3720721796
207	0.3719435999
208	0.3718371186
209	0.3717034244
210	0.3715694695
211	0.3713633967
212	0.3712299919
213	0.3710619088
214	0.3709218943
215	0.3707826759
216	0.3705770195
217	0.3704306841
218	0.3702076953
219	0.3700440689
220	0.3699057778
221	0.369693709
222	0.3695983634
223	0.3694497636
224	0.3693292909
225	0.3691512035
226	0.368939422
227	0.3688238714
228	0.368617007
229	0.3683815928
230	0.3681957705
231	0.3680782187
232	0.3679452863
233	0.3678076113
234	0.367724993
235	0.367607984
236	0.3674002635
237	0.3672417687
238	0.3669707963
239	0.3669388302
240	0.3668023596
241	0.3666585589
242	0.366508669
243	0.3663988521
244	0.3663043681
245	0.3661513171
246	0.3660710995
247	0.365934989
248	0.3657769725
249	0.3656787625
250	0.3655459336
251	0.3653988392
252	0.365325748
253	0.3652389859
254	0.365123074
255	0.3649885889
256	0.364877518
257	0.3647562487
258	0.3646033246
259	0.3643918614
260	0.3642336494
261	0.3641423666
262	0.3640385886
263	0.3638834879
264	0.3637748562
265	0.3636353964
266	0.3634485202
267	0.3633553127
268	0.3631997736
269	0.363054908
270	0.3629863375
271	0.3628519652
272	0.3627020198
273	0.3626182629
274	0.362450332
275	0.3622142412
276	0.3621124236
277	0.3619347626
278	0.3619162765
279	0.3617540996
280	0.3615175912
281	0.3612844398
282	0.3610315127
283	0.3609409913
284	0.3607770473
285	0.3605571031
286	0.360329369
287	0.3601971326
288	0.3600511989
289	0.3599011824
290	0.3597389508
291	0.3596292989
292	0.3594629453
293	0.3593627796
294	0.3592206101
295	0.3591249169
296	0.3590243828
297	0.3589009448
298	0.3587071956
299	0.3585616259
300	0.3584151792
301	0.3582089589
302	0.3580180669
303	0.3578961849
304	0.3577996868
305	0.3577240105
306	0.3575195064
307	0.357389429
308	0.3572040365
309	0.3570535194
310	0.3568763199
311	0.3568275167
312	0.356696898
313	0.356504138
314	0.3563050559
315	0.3561621792
316	0.355933966
317	0.3557847109
318	0.3556257134
319	0.3555026047
320	0.3553656117
321	0.3551780029
322	0.3550170077
323	0.3548950173
324	0.354721457
325	0.3545544281
326	0.3543533437
327	0.3542074676
328	0.3540448304
329	0.3539729415
330	0.3537896109
331	0.3536961139
332	0.3535732149
333	0.3534568274
334	0.353334032
335	0.3531758004
336	0.3530006717
337	0.3528520051
338	0.3526867567
339	0.3525152483
340	0.3522913142
341	0.3521419764
342	0.3519977191
343	0.3518283848
344	0.3516458787
345	0.3514865416
346	0.3513368848
347	0.3512954126
348	0.3512732232
349	0.3511370401
350	0.3509523967
351	0.3508383665
352	0.3506897903
353	0.3505320345
354	0.3503290325
355	0.3503205316
356	0.3503055434
357	0.3501610708
358	0.3500317889
359	0.3498573829
360	0.3496942606
361	0.3495148189
362	0.3493283165
363	0.3493124609
364	0.3490943013
365	0.3489631759
366	0.3487549171
367	0.348706394
368	0.348681733
369	0.348509306
370	0.3483342421
371	0.3482446736
372	0.3480506503
373	0.3479041759
374	0.3477423982
375	0.3476385321
376	0.347541481
377	0.3474533533
378	0.3473135535
379	0.3471217795
380	0.3470533246
381	0.3468174879
382	0.3467682135
383	0.3467583489
384	0.3466080457
385	0.3464964698
386	0.3463481936
387	0.346182726
388	0.3460667742
389	0.3459515919
390	0.3458131192
391	0.3456484181
392	0.3455230977
393	0.3453467233
394	0.3452228414
395	0.3452111213
396	0.3451236755
397	0.3450001575
398	0.3448478456
399	0.3446671544
400	0.3444851676
401	0.3443071909
402	0.3441528773
403	0.34414044
404	0.344055531
405	0.3439246438
406	0.3438276018
407	0.3437110991
408	0.3435331453
409	0.3433064879
410	0.3431592926
411	0.3430527344
412	0.3428715176
413	0.3427298902
414	0.342683976
415	0.3425251312
416	0.3425137761
417	0.3423464733
418	0.3421765167
419	0.34203242
420	0.3418465184
421	0.3416797601
422	0.3415110563
423	0.3413099824
424	0.3412053401
425	0.3410055472
426	0.3409004426
427	0.3407528771
428	0.3405410266
429	0.3404567845
430	0.3402972535
431	0.3401454759
432	0.339980555
433	0.3398400149
434	0.3398293382
435	0.3396733907
436	0.3395169015
437	0.3393934114
438	0.3393109442
439	0.3391199666
440	0.3389119838
441	0.3387699481
442	0.3387002194
443	0.3386029926
444	0.3384042782
445	0.3382558468
446	0.3381332998
447	0.3380235725
448	0.3379061286
449	0.3377487083
450	0.3376062874
451	0.3374505334
452	0.3372951402
453	0.3371838895
454	0.3371423955
455	0.3370474379
456	0.336852037
457	0.3366713028
458	0.3365008164
459	0.3363170609
460	0.3361760354
461	0.3359990434
462	0.335990114
463	0.3358405462
464	0.3356098347
465	0.3354290598
466	0.3353218677
467	0.3351655064
468	0.3351572084
469	0.3349373254
470	0.3347879444
471	0.3346256761
472	0.3345246013
473	0.3343922242
474	0.3342226353
475	0.3342136201
476	0.3340476825
477	0.3338844076
478	0.3336999991
479	0.3335716595
480	0.3334342657
481	0.3333057738
482	0.3331560069
483	0.3330251262
484	0.3329352212
485	0.3327984663
486	0.332626091
487	0.3324485623
488	0.3324409617
489	0.3323255638
490	0.3322340963
491	0.3320557305
492	0.3319032952
493	0.3317352814
494	0.3315289326
495	0.3314100554
496	0.3312442651
497	0.3310992217
498	0.3309892928
499	0.3308436542
500	0.330714216
501	0.3305498917
502	0.3303459483
503	0.3301992013
504	0.3300591158
505	0.3298110165
506	0.3296673242
507	0.3295024692
508	0.3293957251
509	0.3293882531
510	0.3292531622
511	0.3290573395
512	0.3289473643
513	0.3288201731
514	0.3287507308
515	0.3286269318
516	0.3284830082
517	0.328475691
518	0.328289642
519	0.3281998926
520	0.3280888874
521	0.327969631
522	0.3278571702
523	0.3277494648
524	0.3276601336
525	0.3275390864
526	0.3273898536
527	0.3272140946
528	0.3269822347
529	0.326905169
530	0.3268159841
531	0.3267307083
532	0.3266095829
533	0.3263838422
534	0.3262129511
535	0.3260965012
536	0.3260221227
537	0.3258852182
538	0.3257981923
539	0.3256720279
540	0.3255529928
541	0.325369718
542	0.3252218312
543	0.3251076244
544	0.3249429473
545	0.3249353674
546	0.3248197004
547	0.3246649503
548	0.3245082838
549	0.3243311185
550	0.324165933
551	0.324078613
552	0.3239588831
553	0.3238243453
554	0.3237532885
555	0.3236832003
556	0.323675921
557	0.3235264469
558	0.3234440891
559	0.3233075708
560	0.3233016861
561	0.3231688058
562	0.3230546297
563	0.322914405
564	0.3227630906
565	0.3226314485
566	0.3224929224
567	0.3223794598
568	0.3223113
569	0.3221693431
570	0.3220435802
571	0.3219017051
572	0.3218040397
573	0.3216059584
574	0.3214975045
575	0.3214089566
576	0.3212695804
577	0.3212641695
578	0.3211331502
579	0.3209702551
580	0.3208455999
581	0.3206997155
582	0.3205803098
583	0.3204613877
584	0.3203365129
585	0.3201876003
586	0.3201011361
587	0.3200957798
588	0.3200451542
589	0.3199096375
590	0.319794657
591	0.3196239321
592	0.3194845398
593	0.3193830768
594	0.3193096592
595	0.3191383404
596	0.3190425622
597	0.3189098583
598	0.3187822305
599	0.3186409133
600	0.3185641262
601	0.3184366242
602	0.3182794314
603	0.3181476528
604	0.3180676646
605	0.3179103252
606	0.3177804804
607	0.3175988615
608	0.3174069324
609	0.3173360107
610	0.317180037
611	0.3170268686
612	0.3169471954
613	0.3167971628
614	0.3166780661
615	0.3166013305
616	0.3165315292
617	0.3163600025
618	0.3162069144
619	0.3161190438
620	0.3160109793
621	0.3158844494
622	0.3157013507
623	0.31563284
624	0.3154741758
625	0.3153479727
626	0.3153416138
627	0.3153355383
628	0.3152567236
629	0.315140543
630	0.3150238776
631	0.3149150902
632	0.3147891998
633	0.3146702359
634	0.3145367045
635	0.3144051555
636	0.3143210475
637	0.3141690735
638	0.3140639272
639	0.3140041574
640	0.3138916043
641	0.313739338
642	0.3136098894
643	0.3134639717
644	0.3132714127
645	0.3131258293
646	0.3131173719
647	0.3130019175
648	0.3127838192
649	0.3126606768
650	0.3125658347
651	0.3124582055
652	0.3124526279
653	0.3123518805
654	0.3122014709
655	0.3120527983
656	0.3119422738
657	0.3118176421
658	0.3117320231
659	0.3115968111
660	0.3114241163
661	0.3113184452
662	0.3112293826
663	0.3111449585
664	0.3109629107
665	0.3108111497
666	0.3106803287
667	0.3105897146
668	0.3104534735
669	0.3103956962
670	0.3103064546
671	0.3102330017
672	0.3101103091
673	0.3100028063
674	0.3098823995
675	0.3097838841
676	0.3096843063
677	0.3096234279
678	0.3094881787
679	0.3094292237
680	0.3093598995
681	0.3092746751
682	0.3091342045
683	0.3089930538
684	0.3088796153
685	0.3087972126
686	0.308663353
687	0.3085580472
688	0.3084022874
689	0.3083148626
690	0.3082071505
691	0.3080346962
692	0.3079586847
693	0.307847092
694	0.3077463591
695	0.3075703207
696	0.3074603588
697	0.3073995902
698	0.3073045967
699	0.307177276
700	0.3070920633
701	0.3070871968
702	0.3069936973
703	0.3068262871
704	0.3067720647
705	0.3067352221
706	0.3066292295
707	0.3064879127
708	0.3064211958
709	0.3062927941
710	0.306160408
711	0.306019997
712	0.3059504735
713	0.3058345223
714	0.3057854053
715	0.3056896973
716	0.3055630881
717	0.3055585083
718	0.305471345
719	0.3054091969
720	0.3053213904
721	0.3051849955
722	0.3050674029
723	0.3049642592
724	0.3048617405
725	0.3048490639
726	0.3046943268
727	0.3045551557
728	0.304466653
729	0.3042964979
730	0.30424826
731	0.30414694
732	0.3040483848
733	0.3039594921
734	0.3038193877
735	0.3036456283
736	0.3035909432
737	0.3034441588
738	0.3033628941
739	0.3032134095
740	0.3030506202
741	0.302981863
742	0.3028745495
743	0.3027502603
744	0.3026784584
745	0.3025427086
746	0.3023593518
747	0.3022493739
